LSOA21CD,ah4blue,ah4dent,ah4gp,ah4hosp,ah4phar
E01000001,1.8048,0.6328,1.0316,0.9581,0.7487
E01000002,2.1041,0.623,1.3232,1.137,0.6849
E01000003,2.2753,0.5709,0.8562,0.7862,0.5919
E01000005,1.1553,0.8337,1.1078,0.8697,0.6657
E01000006,1.9055,1.9361,0.9587,1.5191,1.3641
E01000007,1.2534,1.0807,0.484,0.4713,1.0041
E01000008,0.457,2.1505,1.3022,1.6737,2.2334
E01000009,1.2205,1.3521,0.6974,0.9742,0.8524
E01000011,0.8287,1.3795,1.3196,1.2665,1.3795
E01000012,0.5889,1.0314,0.8311,0.8311,1.0314
E01000013,3.5028,1.1811,1.2845,1.4606,1.1085
E01000014,2.6206,2.1224,1.1151,1.2574,2.0499
E01000015,3.5235,1.8146,1.2976,1.8538,1.5476
E01000016,3.38,1.603,1.21,1.147,1.6003
E01000017,3.4027,1.5335,0.9724,0.8576,1.6859
E01000018,3.6099,1.7269,1.22,1.3765,1.2883
E01000019,0.9195,1.0727,1.2429,1.3594,1.11
E01000020,1.6811,1.4422,1.4173,0.8885,0.8908
E01000021,1.9945,1.2272,1.2676,1.0101,1.2676
E01000022,1.8236,1.2531,1.2935,1.0385,0.9147
E01000024,2.4142,0.9137,0.9541,1.3881,0.7476
E01000025,2.5242,0.9891,1.0295,1.6472,1.0295
E01000027,3.6388,1.4487,1.9504,1.4487,1.4487
E01000028,2.882,1.3175,1.7959,1.3175,1.3175
E01000029,3.3354,1.3802,1.7317,1.3802,1.7394
E01000030,3.39,0.9988,1.1166,0.9588,0.9988
E01000031,3.4778,0.555,1.2529,0.7871,0.9564
E01000032,3.7332,0.7552,1.6379,1.2886,0.7463
E01000033,2.0331,2.4792,1.1617,1.5931,2.0182
E01000034,2.3485,3.2375,1.4521,2.2133,2.8307
E01000035,2.3226,1.6223,1.4469,1.0803,1.3727
E01000036,2.0475,1.1919,1.0504,0.8189,0.9817
E01000037,3.2342,2.4871,1.3368,1.3368,2.3069
E01000038,3.3952,1.1387,1.1198,1.6173,0.9589
E01000039,1.9525,3.5531,2.054,2.054,3.3729
E01000040,2.4023,2.5455,1.1272,1.8536,0.7735
E01000041,1.6712,2.4843,1.9,1.8869,1.5769
E01000042,1.4891,3.3923,1.3623,1.0621,1.6761
E01000043,2.6838,2.8185,1.2694,2.2564,1.1195
E01000044,2.6182,2.2346,1.2452,1.9659,0.8593
E01000045,1.6234,2.9048,2.2685,2.2073,0.8997
E01000046,2.3666,2.2013,1.6286,1.5073,1.7018
E01000049,1.2602,1.7774,1.2834,1.5229,1.7708
E01000050,1.5921,1.2374,0.7028,0.9687,1.0705
E01000051,1.6027,1.27,1.0922,1.0013,1.1031
E01000052,1.8953,1.5117,0.2322,1.243,1.1878
E01000053,3.6464,1.9177,2.0107,1.1358,1.1471
