lsoa11,ahah,ahah_rnk,ahah_pct,h,gp,dent,phar,hosp
E01000001,64.76672219,41700,100,-2.094345474,2.106,0.4,0.5616,0.492
E01000002,65.80175581,41703,100,-1.192991479,3.146894737,0.8875,0.879178947,1.448894737
E01000003,64.26735954,41695,100,-2.590538762,1.151,0,0.3475,0.6495
E01000005,67.73921558,41710,100,-1.632323243,1.4628,0.565,0.9426,1.22405
E01000006,42.07204562,40256,97,-0.739517568,1.585,2.15,1.8675,1.585
E01000007,42.41397662,40320,97,-2.031865676,0.1775,0.6475,1.0775,0.5175
E01000008,31.54223871,36169,87,-0.071972415,2.641,3.111,3.2585,2.861
E01000009,54.35274042,41556,100,-1.345510718,0.805,1.37,1.8675,0.805
E01000010,54.3917794,41558,100,-2.435707755,1.17,0.275,0.275,0.2204
E01000011,40.0488154,39798,96,-0.92538838,1.0639,1.9607,1.9607,1.0639
E01000012,39.75038764,39720,96,-1.604229956,0.275,1.7068,1.7068,0.275
E01000013,39.72754321,39713,96,-0.892868605,0.9475,1.761,1.2136,1.3585
E01000014,32.45936461,36704,88,-0.603043651,1.2825,3.0791,2.1185,1.03855
E01000015,34.63504523,37851,91,-0.379348562,1.8945,2.5967,1.6361,2.5025
E01000016,34.25932586,37685,91,-0.856738298,1.0768,2.3082,1.6635,0.9975
E01000017,33.9501915,37536,90,-0.882669028,1.0518,2.4626,1.661,0.8825
E01000018,34.436427,37757,91,-0.898066666,0.9724,2.243,1.15975,1.2325
E01000019,26.23945498,31538,76,-0.917776507,2.2787,1.3091,1.26,1.9477
E01000020,28.50593449,33834,82,-0.982792744,2.4025,1.6477,1.1075,1.0733
E01000021,30.45828085,35411,85,-0.968826107,1.6401,1.4421,1.324,1.8235
E01000022,29.37230601,34607,83,-1.265475977,1.7065,1.5085,1.13155,0.9383
E01000023,31.17330729,35922,87,-0.342917672,2.154,2.352,2.154,2.82455
E01000024,32.25683283,36598,88,-1.168988923,1.6332,1.4352,1.1075,1.2258
E01000025,33.68321194,37388,90,-0.856985011,1.5519,1.3539,1.5519,2.2195
E01000027,22.19610967,25545,62,-0.716266766,1.5425,1.265,1.265,1.225
E01000028,23.88854516,28384,69,-0.491002285,1.92,1.5575,1.5575,1.5575
E01000029,36.43948275,38612,93,-0.48730638,1.535,1.6575,2.3955,1.535
E01000030,25.06812959,30126,73,-0.507962679,1.4909,1.762,1.762,1.4567
E01000031,35.71361467,38344,92,-1.30034147,0.8872,0.66,1.5895,0.527
E01000032,44.49510409,40661,98,-1.275477395,1.355,0.515,0.7095,1.3255
E01000033,29.09043715,34350,83,-0.236930108,1.12385,3.9429,3.3933,2.7438
E01000034,26.34684853,31642,76,0.12155998,1.6,5.0893,4.4927,3.7813
E01000035,42.39205546,40314,97,-0.505403206,1.6005,2.9985,3.1331,1.1448
E01000036,45.92045641,40897,99,-0.627174293,1.713,2.093,2.6825,0.9675
E01000037,24.55348295,29345,71,-0.022007814,2.4625,3.3406,3.6272,2.4625
E01000038,25.34185579,30481,74,-0.473355685,1.8331,1.86575,1.8617,2.89015
E01000039,26.13969952,31435,76,0.420653639,2.9545,6.4076,6.4122,2.9545
E01000040,36.78815621,38736,93,-0.429164028,2.447,3.8234,0.7916,2.7308
E01000041,32.91338091,36951,89,-0.480997239,2.3254,3.9115,1.0322,2.365
E01000042,27.92677686,33226,80,-0.380418337,1.9575,5.0285,1.7235,1.065
E01000043,31.87488927,36371,88,-0.23903797,2.397,4.0286,1.3866,2.8625
E01000044,39.47892255,39631,95,-0.239334908,2.8186,3.4519,1.374,3.25645
E01000045,34.49293019,37788,91,-0.422133959,3.2075,4.264,0.5975,3.16
E01000046,28.97911793,34244,83,-0.469617,2.2255,3.0745,1.6975,1.9705
E01000048,33.04147855,37035,89,-0.863580209,1.11125,1.2075,2.600063158,1.2075
E01000049,39.40647503,39610,95,-0.887090732,1.26625,2.081,0.9325,2.081
E01000050,45.78751337,40877,98,-1.314996048,0.9245,1.57955,0.54,1.57955
E01000051,50.06661627,41315,100,-1.100366122,1.2802,1.3513,1.031,1.3513
E01000052,39.34973117,39596,95,-0.460549697,1.5735,2.7308,1.77675,2.7308
E01000053,36.99764038,38811,94,-0.961932609,2.9654,1.5915,0.585,1.0175
E01000054,26.55450333,31891,77,-1.159346349,0.6775,1.9055,1.3235,1.693
E01000055,27.9661135,33271,80,-0.66080736,1.4775,2.6015,2.0195,1.61375
E01000056,30.94366666,35783,86,-0.298249897,1.675,3.0499,2.62,3.075
E01000057,27.16402764,32459,78,-1.846721091,1.028,0.951,0.552,0.816
E01000058,30.22017847,35241,85,-0.799721577,1.23,1.8475,1.7585,2.128
