LSOA21CD,ah4dent,ah4gp,ah4hosp,ah4phar,ah4leis,ah4h
E01000001,0.6328,1.0316,0.9581,0.7487,0.3596,-1.7834
E01000002,0.623,1.3232,1.137,0.6849,0.5571,-1.5523
E01000003,0.5709,0.8562,0.7862,0.5919,0.4608,-1.9813
E01000005,0.8337,1.1078,0.8697,0.6657,0.3717,-1.726
E01000006,1.9361,0.9587,1.5191,1.3641,1.5219,-0.6686
E01000007,1.0807,0.484,0.4713,1.0041,1.278,-1.6781
E01000008,2.1505,1.3022,1.6737,2.2334,2.4067,-0.2215
E01000009,1.3521,0.6974,0.9742,0.8524,1.0101,-1.3252
E01000011,1.3795,1.3196,1.2665,1.3795,1.7701,-0.6711
E01000012,1.0314,0.8311,0.8311,1.0314,2.0626,-1.137
E01000013,1.1811,1.2845,1.4606,1.1085,2.979,-0.6235
E01000014,2.1224,1.1151,1.2574,2.0499,3.141,-0.3224
E01000015,1.8146,1.2976,1.8538,1.5476,2.5863,-0.3437
E01000016,1.603,1.21,1.147,1.6003,2.4256,-0.5544
E01000017,1.5335,0.9724,0.8576,1.6859,2.4861,-0.7231
E01000018,1.7269,1.22,1.3765,1.2883,2.4815,-0.5405
E01000019,1.0727,1.2429,1.3594,1.11,1.3271,-0.8956
E01000020,1.4422,1.4173,0.8885,0.8908,1.641,-0.9308
E01000021,1.2272,1.2676,1.0101,1.2676,1.0383,-0.9627
E01000022,1.2531,1.2935,1.0385,0.9147,1.098,-1.0425
E01000024,0.9137,0.9541,1.3881,0.7476,1.2969,-1.1879
E01000025,0.9891,1.0295,1.6472,1.0295,1.6521,-0.8998
E01000027,1.4487,1.9504,1.4487,1.4487,4.0641,-0.2591
E01000028,1.3175,1.7959,1.3175,1.3175,4.2605,-0.3639
E01000029,1.3802,1.7317,1.3802,1.7394,3.3179,-0.3113
E01000030,0.9988,1.1166,0.9588,0.9988,3.2806,-0.8757
E01000031,0.555,1.2529,0.7871,0.9564,2.6271,-1.1931
E01000032,0.7552,1.6379,1.2886,0.7463,2.5399,-0.9217
E01000033,2.4792,1.1617,1.5931,2.0182,1.9679,-0.3197
E01000034,3.2375,1.4521,2.2133,2.8307,3.1002,0.1302
E01000035,1.6223,1.4469,1.0803,1.3727,1.4783,-0.6902
E01000036,1.1919,1.0504,0.8189,0.9817,2.0367,-1.0314
E01000037,2.4871,1.3368,1.3368,2.3069,3.3584,-0.1428
E01000038,1.1387,1.1198,1.6173,0.9589,2.0101,-0.808
E01000039,3.5531,2.054,2.054,3.3729,4.4245,0.3668
E01000040,2.5455,1.1272,1.8536,0.7735,2.3398,-0.5766
E01000041,2.4843,1.9,1.8869,1.5769,2.1257,-0.1764
E01000042,3.3923,1.3623,1.0621,1.6761,3.1865,-0.2485
E01000043,2.8185,1.2694,2.2564,1.1195,2.6128,-0.2894
E01000044,2.2346,1.2452,1.9659,0.8593,2.0289,-0.5585
E01000045,2.9048,2.2685,2.2073,0.8997,2.2486,-0.2268
E01000046,2.2013,1.6286,1.5073,1.7018,1.8984,-0.32
E01000049,1.7774,1.2834,1.5229,1.7708,1.732,-0.4688
E01000050,1.2374,0.7028,0.9687,1.0705,1.0317,-1.258
E01000051,1.27,1.0922,1.0013,1.1031,1.0643,-1.0486
E01000052,1.5117,0.2322,1.243,1.1878,1.306,-1.2708
E01000053,1.9177,2.0107,1.1358,1.1471,1.3835,-0.6028
E01000054,1.5641,0.8544,1.591,1.1685,1.1685,-0.8824
E01000055,1.7817,1.1907,1.1959,1.4649,1.4649,-0.6748
E01000056,2.0641,1.3402,1.7757,1.6195,1.0227,-0.5298
E01000057,1.4524,1.0138,0.9914,1.1495,1.1495,-1.0016
E01000058,1.6448,0.9514,1.9138,1.3037,1.3037,-0.7099
E01000059,1.5041,0.975,2.1888,1.6771,1.4151,-0.583
E01000060,1.2078,1.7801,1.7486,1.6231,1.5266,-0.4988
E01000061,1.5272,1.1972,1.0031,1.1939,1.2867,-0.8814
E01000062,1.1445,1.9827,1.7368,1.8094,1.9459,-0.3875
E01000063,1.0082,1.1022,1.134,1.0519,1.5516,-0.9953
E01000064,1.2609,1.3382,1.4761,1.7041,2.0416,-0.5365
E01000065,0.1307,0.1307,0.1307,0.4371,1.8936,-2.6676
E01000066,1.8422,1.6925,1.8926,1.8826,2.8802,-0.1538
E01000067,1.567,1.6811,1.6081,1.5205,2.8712,-0.3185
E01000068,1.818,1.4082,1.5479,1.8317,2.0163,-0.3746
E01000069,1.7607,0.6165,0.4796,1.605,3.001,-1.0462
E01000070,1.0608,1.8375,1.4698,1.151,2.5378,-0.5703
E01000071,2.329,1.2698,1.0599,2.1815,3.4606,-0.2634
E01000072,2.3501,1.4528,1.552,0.7821,1.0555,-0.7613
E01000073,1.9386,1.0853,1.3771,1.1918,0.9322,-0.8272
E01000074,2.1098,0.7673,0.8441,1.2265,1.3205,-1.0005
E01000075,2.1573,1.0869,1.0869,1.5473,1.7956,-0.6139
E01000076,2.4869,1.1837,1.1837,1.0332,1.3307,-0.7335
E01000077,1.7407,0.8591,1.0901,0.7214,2.0226,-1.01
E01000078,1.7087,0.7211,1.3825,0.6611,2.3813,-1.0004
E01000079,1.835,1.1538,0.9468,1.9994,3.2555,-0.4474
E01000080,2.0128,1.128,1.2638,0.9898,2.4174,-0.6508
E01000081,1.4803,1.2434,0.99,1.4727,2.943,-0.596
E01000082,1.074,1.0044,1.074,0.8367,2.1373,-1.0332
E01000083,1.8536,1.1134,0.9649,0.7856,2.0735,-0.9009
E01000084,0.6338,0.8459,1.5194,1.3472,2.2062,-0.9876
E01000085,0.8727,1.0293,1.1372,0.8216,2.1122,-1.0818
E01000086,0.999,1.2227,1.4305,1.3789,1.7749,-0.7582
E01000087,1.3485,1.2365,0.9856,1.0785,1.2257,-0.9627
E01000088,1.1072,1.2172,1.2508,1.1735,1.6774,-0.84
E01000089,1.7788,1.3342,1.8572,2.0816,1.9176,-0.3202
E01000090,2.36,1.4295,1.7148,2.0487,1.5989,-0.2888
E01000091,1.1979,1.1979,0.8066,1.1979,5.5673,-0.6738
E01000093,0.9273,0.9273,0.8804,0.9273,4.9672,-0.9297
E01000094,2.9317,2.9317,2.3703,2.5663,6.0769,0.4492
E01000095,3.4673,3.0084,2.737,2.5515,3.217,0.3899
E01000096,3.1192,2.5874,2.5004,1.5486,3.0327,0.1316
E01000097,1.3035,1.1685,1.9964,1.3095,1.7484,-0.6188
E01000098,0.841,1.1247,1.5971,0.8587,1.5003,-1.0267
E01000099,1.4178,0.9549,1.7226,1.4396,2.0343,-0.634
E01000100,1.0593,1.033,0.8125,1.2914,1.6071,-1.0392
E01000101,0.6428,1.0889,1.462,1.0711,1.0593,-1.1668
E01000102,1.6798,1.4696,1.1026,1.0402,2.3148,-0.6512
E01000103,1.8553,2.0415,0.7372,1.4297,3.0906,-0.4766
E01000104,1.4354,1.9762,1.1109,1.0098,2.7,-0.5745
E01000105,1.0073,1.0119,1.0566,0.9893,2.6739,-0.9313
E01000106,1.9729,0.9777,0.9777,1.1062,3.5293,-0.6547
E01000107,1.8055,2.4518,0.8829,1.4245,3.0934,-0.3663
E01000108,0.8063,1.5837,0.9423,0.5957,2.2474,-1.1353
E01000110,1.1357,1.2093,1.2093,1.0263,2.5268,-0.787
E01000111,1.4241,1.5289,1.5289,1.109,1.8726,-0.616
E01000112,0.8965,1.3454,1.3145,0.6684,2.1456,-1.0053
E01000113,0.8314,2.0491,1.9913,0.8314,2.2664,-0.6836
E01000114,1.1395,1.6572,1.8699,0.6993,0.9656,-0.9469
E01000115,0.8667,1.2558,1.8193,1.4193,1.4529,-0.7665
E01000116,1.0786,1.6819,2.5636,1.2066,1.2066,-0.6166
E01000117,2.2419,1.7198,3.2435,1.0666,1.1265,-0.403
E01000118,1.7093,1.2135,3.1278,0.9774,1.0793,-0.647
E01000119,1.1647,2.407,1.21,1.4407,1.585,-0.5666
E01000120,0.8825,1.8989,1.5069,1.2122,1.2122,-0.7825
E01000121,2.6736,1.7703,2.7093,2.2156,2.3176,0.0467
E01000122,1.8216,2.8393,2.5919,1.8869,1.8869,-0.0385
E01000123,3.3269,3.0221,2.352,2.8491,2.8884,0.3491
E01000124,1.4957,2.3745,2.6233,1.32,1.3872,-0.3425
E01000126,1.8594,1.8531,2.5114,2.2551,1.8849,-0.1071
E01000127,1.1403,1.0478,1.5997,1.1291,1.1657,-0.913
E01000128,1.3678,1.1554,1.441,1.2453,1.3558,-0.7818
E01000129,1.1067,0.8775,0.9158,0.5927,1.077,-1.4357
E01000130,1.0021,0.9687,1.9714,1.4417,1.003,-0.8801
E01000131,1.5802,1.6037,1.8207,1.1247,1.1836,-0.631
E01000132,0.8433,0.8815,2.2546,0.7427,1.4048,-1.0933
E01000133,1.3076,1.3076,2.4966,1.5169,1.4378,-0.5204
E01000134,1.0313,1.4189,1.6031,1.2973,2.1267,-0.6382
E01000135,1.2229,1.1582,1.5649,1.5622,1.3939,-0.7037
E01000136,1.0441,2.0149,1.9649,1.7549,1.5744,-0.443
E01000137,0.9157,1.3882,1.4252,0.9326,1.8656,-0.8719
E01000138,1.0346,0.7408,0.6217,0.8464,1.4408,-1.4598
E01000139,0.9431,0.9785,0.9785,0.9069,1.432,-1.186
E01000140,0.6108,1.357,1.382,0.628,1.5094,-1.2387
E01000141,0.7134,0.9818,1.4585,0.6237,0.9564,-1.4003
E01000142,1.5013,1.7836,1.6758,1.5726,1.9492,-0.3921
E01000143,1.1421,1.5062,1.6371,1.1511,1.59,-0.6952
E01000144,0.6623,0.9149,0.733,0.7155,0.8325,-1.6746
E01000145,0.932,1.0258,0.8513,1.0825,1.101,-1.2232
E01000146,0.4904,1.0294,1.1084,1.0597,0.6932,-1.5035
E01000147,0.7312,0.8616,1.8688,0.891,1.1025,-1.1943
E01000150,1.4253,1.4991,1.1418,1.2584,0.9122,-0.8568
E01000151,2.4594,2.3635,2.7959,1.7773,1.7971,-0.0203
E01000152,2.8634,1.2937,1.2937,2.5309,1.4055,-0.3276
E01000153,2.6275,1.8484,1.8576,2.8654,2.123,0.0087
E01000154,2.0984,2.6248,2.7451,1.0386,1.6245,-0.2502
E01000156,0.5714,0.6237,1.5089,0.6445,1.7267,-1.488
E01000157,0.9667,0.9667,1.7319,1.1218,1.9332,-0.8465
E01000158,1.0559,1.3794,2.4354,1.4744,1.7305,-0.5394
E01000159,1.7814,1.5866,2.4744,1.7716,2.0796,-0.2211
E01000160,1.338,1.9084,2.6679,1.7033,1.9024,-0.2679
E01000161,0.7371,0.7676,1.6003,1.1951,1.79,-1.05
E01000162,0.6624,0.8607,1.5279,0.9357,2.1756,-1.0966
E01000163,1.4375,1.4375,1.56,1.6263,2.5747,-0.4097
E01000164,1.0778,1.0778,1.1593,1.2512,2.269,-0.8182
E01000165,1.6845,1.8249,1.0907,2.1219,3.2992,-0.2505
E01000166,2.0187,2.0496,2.3141,2.0663,1.6202,-0.1361
E01000167,1.7981,2.1589,2.2827,2.0791,0.8285,-0.3317
E01000168,1.7282,1.7453,2.4916,1.7692,1.6011,-0.2656
E01000169,1.6232,1.5908,1.5908,1.5908,1.3239,-0.5135
E01000170,1.0242,0.8152,0.8152,0.7537,1.1209,-1.4288
E01000171,1.0202,0.8374,1.3272,0.9943,1.1232,-1.1451
E01000172,1.4724,1.366,2.0701,1.6524,1.581,-0.4623
E01000173,1.6551,2.0077,2.0077,1.2178,1.1076,-0.5121
E01000174,0.802,1.4,1.4,0.6284,0.6197,-1.3722
E01000175,1.4656,1.9795,1.988,1.206,1.0009,-0.586
E01000176,1.8466,1.7233,2.1275,1.0748,1.2233,-0.5284
E01000177,1.2011,0.8379,1.6376,0.8407,0.7334,-1.2155
E01000178,0.9637,1.089,1.8703,0.8072,0.7393,-1.1638
E01000179,1.1256,1.3295,1.1256,1.3607,1.0856,-0.8985
E01000180,0.5461,1,1.9867,0.3943,0.3943,-1.8122
