name,amenity,lat,lon
Harewood Surgery,doctors,53.9005227,-1.5124273
Unknown,pharmacy,53.8142179,-1.6290353
Well Pharmacy,pharmacy,53.8120729,-1.6267989
Well Burley - Burley Road,pharmacy,53.8076321,-1.5799935
Well Pharmacy,pharmacy,53.8186489,-1.5833604
Lincoln Wing - A Block Entrance,hospital,53.8067154,-1.5205128
St James's Hospital A&E,hospital,53.806396,-1.5213303
Cancer Genetics Building,hospital,53.8084347,-1.5188053
Unknown,pharmacy,53.7768332,-1.5448247
Carlton Surgery,doctors,53.8073918,-1.5410485
Manor Park Surgery,doctors,53.8140394,-1.6289579
Boots,pharmacy,53.8119892,-1.6266505
Well Pharmacy,pharmacy,53.8001832,-1.649336
Dental Surgery,dentist,53.8065913,-1.5837313
Leeds Dental Institute,dentist,53.803263,-1.5562922
Well Pharmacy,pharmacy,53.7450828,-1.6058111
Armley Pharmacy,pharmacy,53.8008636,-1.6003066
Brudenell Pharmacy,pharmacy,53.8126337,-1.5685095
Aesthetique Dental Care,dentist,53.7953014,-1.538041
Asda,pharmacy,53.803547,-1.6711378
Boots,pharmacy,53.7971733,-1.5889098
Henconner Pharmacy,pharmacy,53.7959809,-1.6214622
Superdrug,pharmacy,53.8016134,-1.54448
Boots,pharmacy,53.8021041,-1.5443554
Bramley Dental Centre,dentist,53.8059991,-1.6321477
Briggate Dental Practice,dentist,53.7946791,-1.5425431
Unknown,pharmacy,53.7452102,-1.6028681
Farsley Dental Practice,dentist,53.8158468,-1.6700692
The Bergin Family Dental Practice,dentist,53.7823567,-1.550338
Well Pharmacy,pharmacy,53.7563673,-1.6634181
Arthington Medical Centre,doctors,53.7722033,-1.5318192
Freeman's Pharmacy,pharmacy,53.782317,-1.6008936
New Farnley Medical Centre,doctors,53.7764376,-1.6241737
Cohens Chemist,pharmacy,53.9063719,-1.6935839
Robin Lane Medical Centre,doctors,53.7951018,-1.6613817
Boots,pharmacy,53.8009353,-1.6899145
Boots,pharmacy,53.9047775,-1.6939947
Mrs. Olney,dentist,53.9057531,-1.6899158
Thorpe Pharmacy,pharmacy,53.7327574,-1.5277455
Bridge Street Dental Practice,dentist,53.9065168,-1.6936605
Pool Pharmacy,pharmacy,53.9022221,-1.6287236
Naseems' Pharmacy,pharmacy,53.7482826,-1.4781403
Paul Sykes Urology Centre,hospital,53.8076363,-1.5221743
Boots,pharmacy,53.7972688,-1.5457057
Burmantofts Dental Practice,dentist,53.8032033,-1.5298142
Unknown,pharmacy,53.7984821,-1.4413482
Horsforth Pharmacy,pharmacy,53.8397991,-1.6355463
LS1 Dental,dentist,53.8239685,-1.580832
Headingley Pharmacy,pharmacy,53.8209648,-1.5767099
Tracey Black Dental Surgery,dentist,53.8190747,-1.5768853
Oakwood Lane Pharmacy,pharmacy,53.81602,-1.4916676
Boots,pharmacy,53.8208795,-1.495183
Manor Square Dental Practice,dentist,53.9061789,-1.6949073
Well Pharmacy,pharmacy,53.8232585,-1.4866456
The Living Care Pharmacy,pharmacy,53.7643164,-1.5628651
Impress,dentist,53.7986314,-1.5395891
Boots,pharmacy,53.8224869,-1.5785915
Superdrug,pharmacy,53.8222637,-1.5783957
Boots,pharmacy,53.7722036,-1.5312696
One Dental,dentist,53.9049984,-1.6933341
Otley Pharmacy,pharmacy,53.9058211,-1.6938546
Bramhope Medical Centre,doctors,53.8816093,-1.6167659
Well Pharmacy,pharmacy,53.8386572,-1.6392722
Mitchell's Chemist,pharmacy,53.832191,-1.6409752
Burton Croft Surgery,doctors,53.8210025,-1.5767472
Holly Bank Surgery,doctors,53.8210177,-1.5767601
Well Pharmacy,pharmacy,53.8021581,-1.5260676
Hyde Park Dental Centre,dentist,53.8143248,-1.5619722
Dental Surgery,dentist,53.8125933,-1.5685436
Cardigan Road Pharmacy,pharmacy,53.8118959,-1.5763363
Boots,pharmacy,53.7664679,-1.3680104
Cohens Chemist,pharmacy,53.7943387,-1.3880491
Boots,pharmacy,53.7950667,-1.5477798
Boots,pharmacy,53.929095,-1.3852074
M A Manning,pharmacy,53.8347017,-1.5205928
Unknown,pharmacy,53.8472088,-1.5575911
Meanwood Dental Practice,dentist,53.8271779,-1.5667025
Unknown,pharmacy,53.8275735,-1.615948
WA Hawkin & Sons Pharmacy,pharmacy,53.848739,-1.6038693
Cookridge Dental Practice,dentist,53.8484115,-1.6036641
Hyde Park Pharmacy,pharmacy,53.8059479,-1.5679659
Rawdon Lights Dental Care,dentist,53.8537113,-1.6843808
Unknown,pharmacy,53.8662678,-1.6839667
Well Pharmacy,pharmacy,53.8662334,-1.6844002
Pharmasave,pharmacy,44.3312162,-76.1603642
Ivory Dental,dentist,53.8398978,-1.6373749
Horsforth Dental Practice,dentist,53.846859,-1.6307143
Perfect Smile Clinic,dentist,53.8332609,-1.6479074
The Springs Dental Care,dentist,53.8320914,-1.6438926
The Light Surgery,doctors,53.7999239,-1.5455448
Yeadon Tarn Medical Practice,doctors,53.8666119,-1.6848675
Aireborough Family Practice,doctors,53.8666155,-1.6847578
Village Pharmacy,pharmacy,53.9075779,-1.4116124
Crossley Street Surgery,doctors,53.9306022,-1.3887404
Day Lewis Pharmacy,pharmacy,53.9307759,-1.388845
Boots,pharmacy,53.8106202,-1.4711705
Boots,pharmacy,53.77195,-1.3700084
Cohens Chemist,pharmacy,53.7933269,-1.3881131
Methley Pharmacy,pharmacy,53.7377072,-1.3940023
Unknown,pharmacy,53.820382,-1.4939827
Calverley Medical Centre,doctors,53.8256836,-1.6924801
Day Lewis Pharmacy,pharmacy,53.8124904,-1.6713136
Well Pharmacy,pharmacy,53.8071918,-1.4498256
Tesco,pharmacy,53.822664,-1.5105107
Crossgates Day/Night Pharmacy,pharmacy,53.8075271,-1.4499846
Bupa Dental Care,dentist,53.792749,-1.54093
Denture Excellence & The Leeds Dental Centre,dentist,53.8075871,-1.4509937
Belle Isle Pharmacy,pharmacy,53.7623588,-1.5231062
Boots,pharmacy,53.7454418,-1.6017026
Bupa Dental Care,dentist,53.8717405,-1.7072435
Kat's Dental Laboratory,dentist,53.7963574,-1.4701183
Boots,pharmacy,53.8055676,-1.5222904
Stancliffe Pharmacy,pharmacy,53.8842936,-1.6187265
Well Pharmacy,pharmacy,53.8038158,-1.4510952
Unknown,doctors,53.7786751,-1.527637
Burley Park Medical Centre,doctors,53.8075568,-1.5796965
Harehills Pharmacy,pharmacy,53.8089888,-1.5088273
Holbeck Dental Surgery,dentist,53.7861411,-1.5607634
Graham Lovis Dental Practice,dentist,53.7979704,-1.5409358
Livingcare Pharmacy,pharmacy,53.7925577,-1.5230508
Livingcare Pharmacy,pharmacy,53.7941404,-1.517901
Alsyed Pharmacy,pharmacy,53.7977835,-1.5110976
Cohens Chemist,pharmacy,53.8113311,-1.5259677
Khan Pharmacy,pharmacy,53.8122132,-1.5216494
Roundhay Pharmacy,pharmacy,53.8158215,-1.5185782
Sky Pharmacy,pharmacy,53.8153495,-1.5170319
Imaan Pharmacy,pharmacy,53.8105024,-1.5111773
Asda Pharmacy,pharmacy,53.735546,-1.6101328
Well Pharmacy,pharmacy,53.7420758,-1.5990821
Lloydspharmacy,pharmacy,53.7431307,-1.6043794
Well Pharmacy,pharmacy,53.7428792,-1.5470928
Boots,pharmacy,53.7477853,-1.5471116
Well Pharmacy,pharmacy,53.7725798,-1.5662465
Al Shafa Pharmacy,pharmacy,53.7776556,-1.5546962
Boots,pharmacy,53.7963181,-1.4689507
Seacroft Pharmacy,pharmacy,53.8140094,-1.4551011
Lloyds Pharmacy,pharmacy,53.8217133,-1.444083
Lloyds Pharmacy,pharmacy,53.820696,-1.4589581
Cohens Chemist,pharmacy,53.8257078,-1.4833447
Oakwood Pharmacy,pharmacy,53.8265623,-1.506659
Knights Pharmacy,pharmacy,53.825464,-1.5461969
Medichem Pharmacy,pharmacy,53.8259287,-1.5342316
Medichem Pharmacy,pharmacy,53.8211596,-1.5320885
Shifa Pharmacy,pharmacy,53.8162901,-1.5319169
Knights Pharmacy,pharmacy,53.8289785,-1.5378378
Boots,pharmacy,53.7568148,-1.574631
Kamsons Pharmacy,pharmacy,53.7491208,-1.5362044
Living Care Deliveries Leeds,pharmacy,53.7905478,-1.5518859
Church Lane Pharmacy,pharmacy,53.7961612,-1.6639755
Day Lewis Pharmacy,pharmacy,53.8277936,-1.6874072
Living Care Pharmacy,pharmacy,53.8479227,-1.5515479
Living Care Pharmacy,pharmacy,53.8408535,-1.544546
Well Pharmacy,pharmacy,53.8502625,-1.5255868
The Dental Studio,dentist,53.7217605,-1.5465282
Rowlands Pharmacy,pharmacy,53.7287288,-1.5593398
Boots,pharmacy,53.8009479,-1.4239539
Vitruvian Dentistry,dentist,53.8005362,-1.425797
Unknown,doctors,53.8106899,-1.4719249
Seeley's Bay Drug Mart,pharmacy,44.4740902,-76.2375669
Tyersal Pharmacy,pharmacy,53.7902756,-1.7071128
Boots,pharmacy,53.7963149,-1.6637716
White 32 Dental,dentist,53.7999518,-1.5446316
Perfect Smile Clinic,dentist,53.8208565,-1.4957906
Unknown,pharmacy,53.8201201,-1.4937032
My Dentist,dentist,53.7961619,-1.469363
Asda,pharmacy,53.856042,-1.6063213
Asda,pharmacy,53.8064435,-1.4760679
High Ash Dental Surgery,dentist,53.8559305,-1.5205073
St Georges Centre Urgent Treatment Cente,doctors,53.7478163,-1.5322064
{my}dentist,dentist,53.8111324,-1.6262877
Cottingley GP Surgery,doctors,53.7685036,-1.5813152
Cottingley Pharmacy,pharmacy,53.7690244,-1.583566
Dynasty Denture Clinic,dentist,53.7963458,-1.6617827
Moorfield House Surgery,doctors,53.7957556,-1.3902122
Nicholas and Fisher,dentist,53.7939344,-1.3949597
Unknown,hospital,53.79641,-1.5951703
DEXAStrong,doctors,53.7957644,-1.5597917
Evolve,doctors,53.800445,-1.539674
Quarry House Dental Practice,dentist,53.7987797,-1.530765
Lawnswood Dental Care,dentist,53.8456218,-1.6015953
VICI Dental,dentist,53.7967141,-1.6635625
Yorkshire Smiles,dentist,53.8002411,-1.5032384
Leeds General Infirmary,hospital,53.8023566,-1.5528327
Woodhouse Health Centre,hospital,53.812663,-1.5476053
St Mary's Hospital,hospital,53.7997783,-1.61259
Middleton Community Health Centre,hospital,53.7427808,-1.5471861
Drighlington Medical Centre,doctors,53.7561962,-1.6625873
Beeston Village Medical Centre,doctors,53.7720839,-1.5671669
Westgate Surgery,doctors,53.9047755,-1.6991452
Otley Clinic,doctors,53.9062545,-1.6958039
Charles St Surgery,doctors,53.9047739,-1.6904967
Little Woodhouse Hall,hospital,53.8029738,-1.5570682
Chapel Allerton Hospital,hospital,53.8224209,-1.5302961
Cohens Chemist,pharmacy,53.7851097,-1.5602107
Shafton Lane Surgery,doctors,53.7855795,-1.5619284
Garforth Medical Centre,doctors,53.7922913,-1.3880423
Leeds Student Medical Practice,hospital,53.8073733,-1.5491019
Hyde Park Surgery,doctors,53.8068583,-1.5678347
St. James's University Hospital,hospital,53.8071804,-1.5215599
Scholes Surgery,doctors,53.8239039,-1.4265228
Living Care Pharmacy,pharmacy,53.844114,-1.5134479
Unknown,dentist,53.8282834,-1.4296612
Well Pharmacy,pharmacy,53.8445313,-1.5175484
Seacroft Hospital,hospital,53.805565,-1.4712541
Street Lane Dental Centre,dentist,53.8421407,-1.5387349
Yorkshire Dental Suite,dentist,53.820973,-1.4944129
Armley Moor Health Centre,doctors,53.7960322,-1.5936224
Parkside Lodge,hospital,53.7993136,-1.5902553
Abbey Medical Centre,doctors,53.8180414,-1.6009382
Morley Health Centre,doctors,53.7449393,-1.60667
Wharfedale Hospital,hospital,53.9146568,-1.6994791
Kirkstall Health Centre,doctors,53.8172184,-1.5996297
Parkside Community Health Centre,doctors,53.7706077,-1.548961
Laurel Bank Surgery,doctors,53.8172587,-1.5869999
Kirkstall Lane Medical Centre,doctors,53.8170852,-1.587162
Deu Health,dentist,53.8207096,-1.5766378
Mill Garth Hospital,hospital,53.8280325,-1.5698687
Hunslet Health Centre,doctors,53.7799072,-1.5265296
Spa Surgery,doctors,53.9036387,-1.3430723
Conway Medical Centre,doctors,53.8111758,-1.5139924
Adwalton House Surgery,doctors,53.7541965,-1.6556296
Grange Medical Centre,doctors,53.8206218,-1.4590129
Seacroft Clinic,doctors,53.8206988,-1.4603928
Skin Doctor Leeds,doctors,53.8237425,-1.580669
Love Your Smile,dentist,53.7801015,-1.5244393
Burton Croft Dental Care,dentist,53.8259444,-1.5807221
The Lofthouse Surgery,doctors,53.7289995,-1.4962432
Boots,pharmacy,53.788679,-1.5396551
Carlton Lane Pharmacy,pharmacy,53.7308483,-1.496635
This is my healthcare,doctors,53.7917058,-1.550669
Oakley Terrace Surgery,doctors,53.7741324,-1.5455361
Boots,pharmacy,53.8001888,-1.482264
Collingham Surgery,doctors,53.9087872,-1.40763
King Lane Dental Care,dentist,53.8410691,-1.5446311
Cohens Chemist,pharmacy,53.9043277,-1.3457976
Meanwood Pharmacy,pharmacy,53.8267698,-1.5663973
Burley House Dental Care,dentist,53.8105638,-1.5846416
The Bellbrooke Surgery,doctors,53.8089789,-1.5059985
Boots,pharmacy,53.8712278,-1.7085475
Park Road Medical Centre,doctors,53.8721004,-1.7095403
Yeadon Community Health Centre,doctors,53.8652056,-1.6839815
Wortley Beck Health Centre,doctors,53.7824196,-1.6011829
Midway Pharmacy,pharmacy,53.8332231,-1.604176
Lexicon House Urgent Care Centre,dentist,53.8097643,-1.538203
Shoppers Drug Mart,pharmacy,44.3359553,-76.1514361
Pudsey Health Centre,doctors,53.7948124,-1.664017
Waterloo Manor Independent Hospital,hospital,53.7871323,-1.4115731
The Whinmoor Pharmacy - Pharma Nord,pharmacy,53.8371022,-1.4555029
Horsforth Smile Clinic,dentist,53.8367004,-1.6422394
The New Croft Surgery,doctors,53.839711,-1.635458
Fieldhead Surgery,doctors,53.8317944,-1.6393518
Cohens Chemist,pharmacy,53.7915245,-1.5756649
Priory View Medical Centre,doctors,53.7912235,-1.5754613
Thornton Medical Centre,doctors,53.7919569,-1.5762189
Well Pharmacy,pharmacy,53.8102505,-1.6496599
Rawdon Surgery,doctors,53.8546762,-1.6870261
Boots,pharmacy,53.8548301,-1.6869132
Rawdon Dental Practice,dentist,53.8549819,-1.686923
Cohens Chemist,pharmacy,53.8534814,-1.6134924
Ireland Wood Surgery,doctors,53.8466001,-1.6040115
Ireland Wood Pharmacy,pharmacy,53.8465332,-1.6037248
Highfield Surgery,doctors,53.8566848,-1.6077929
West Lodge Surgery,doctors,53.8108783,-1.6697268
Chelwood Dental Care,dentist,53.8459246,-1.5209982
Hillfoot Surgery,doctors,53.8004677,-1.688134
Midway Pharmacy,pharmacy,53.7920715,-1.6720922
Midway Pharmacy,pharmacy,53.7953308,-1.6644292
Church View,dentist,53.8079,-1.4482142
Andrew Tylee Pharmacy,pharmacy,53.8058676,-1.5690559
Broad Lane Dental Centre,dentist,53.8155228,-1.6356183
Highfield Medical Centre,doctors,53.8076777,-1.6236038
Xen Smiles,dentist,53.8034566,-1.6198765
Lloyds Pharmacy,pharmacy,53.7910888,-1.5751526
Beechwood Medical Centre,doctors,53.7970833,-1.6214217
Craven Road Medical Practice,doctors,53.8141418,-1.5472971
Day Lewis Pharmacy,pharmacy,53.7483472,-1.4777197
The Gables Surgery,doctors,53.7998127,-1.6511297
Well Pharmacy,pharmacy,53.7788582,-1.528376
Well Pharmacy,pharmacy,53.7569752,-1.6292842
Gildersome Health Centre,doctors,53.7565554,-1.6293092
East Leeds Pharmacy,pharmacy,53.7983828,-1.4985267
Windsor House Surgery,doctors,53.7443857,-1.6050237
Seacroft Dental Surgery,dentist,53.8156063,-1.4558642
