2011 super output area - lower layer,All categories: Long-term health problem or disability,Very good health,Good health,Fair health,Bad health,Very bad health,
,number,number,number,number,number,number,
E01011698 : Leeds 001A,"1,503",702,551,176,60,14,
E01011699 : Leeds 001B,"1,345",732,442,129,37,5,
E01011701 : Leeds 001C,"1,287",697,397,152,30,11,
E01011702 : Leeds 001D,"1,184",674,364,120,17,9,
E01011703 : Leeds 001E,"1,279",643,458,145,23,10,
E01011697 : Leeds 002A,"2,091",885,756,336,85,29,
E01011700 : Leeds 002B,"1,353",637,490,174,42,10,
E01011704 : Leeds 002C,"1,770",730,656,270,88,26,
E01011705 : Leeds 002D,"1,378",577,517,198,65,21,
E01011581 : Leeds 003A,"1,469",681,522,194,54,18,
E01011582 : Leeds 003B,"1,651",698,597,261,72,23,
E01011583 : Leeds 003C,"1,479",753,491,179,42,14,
E01011584 : Leeds 003D,"1,250",656,409,133,44,8,
E01011569 : Leeds 004A,"1,662",844,561,202,47,8,
E01011571 : Leeds 004B,"1,597",764,524,225,67,17,
E01011572 : Leeds 004C,"1,763",902,623,179,48,11,
E01011573 : Leeds 004D,"1,341",725,445,128,35,8,
E01011574 : Leeds 004E,"1,456",632,459,274,73,18,
E01011707 : Leeds 005A,"1,359",628,468,185,59,19,
E01011709 : Leeds 005B,"1,588",825,511,198,41,13,
E01011710 : Leeds 005C,"1,421",772,467,139,36,7,
E01011711 : Leeds 005D,"1,389",691,456,181,52,9,
E01011712 : Leeds 005E,"1,359",687,461,160,47,4,
E01011561 : Leeds 006A,"1,217",602,441,137,27,10,
E01011696 : Leeds 006B,"1,498",783,485,179,42,9,
E01011706 : Leeds 006C,"1,526",927,458,112,26,3,
E01011708 : Leeds 006D,"1,468",792,485,132,48,11,
E01011713 : Leeds 006E,"1,843","1,065",565,171,34,8,
E01011570 : Leeds 007A,"2,284","1,283",713,215,62,11,
E01011576 : Leeds 007C,"1,432",770,460,157,31,14,
E01032503 : Leeds 007E,"1,465",856,422,140,34,13,
E01032504 : Leeds 007F,"1,584",829,526,181,31,17,
E01011266 : Leeds 008A,"2,027","1,215",647,122,31,12,
E01011270 : Leeds 008B,"1,616",888,533,153,36,6,
E01011279 : Leeds 008C,"1,312",640,454,175,35,8,
E01011280 : Leeds 008D,"1,757",935,600,188,21,13,
E01011265 : Leeds 009A,"1,625",763,538,247,63,14,
E01011267 : Leeds 009B,"1,496",655,521,222,69,29,
E01011271 : Leeds 009C,"2,158","1,222",695,192,40,9,
E01011272 : Leeds 009D,"1,521",850,496,135,34,6,
E01011268 : Leeds 010A,"1,394",569,536,176,82,31,
E01011273 : Leeds 010B,"1,487",710,510,193,56,18,
E01011274 : Leeds 010C,"1,488",568,507,271,113,29,
E01011275 : Leeds 010D,"1,350",598,488,187,60,17,
E01011264 : Leeds 011A,"1,279",528,468,199,65,19,
E01011269 : Leeds 011B,"1,552",669,535,260,70,18,
E01011276 : Leeds 011C,"1,384",703,498,141,34,8,
E01011578 : Leeds 011D,"1,321",617,465,175,45,19,
E01011554 : Leeds 012A,"1,446",760,495,147,34,10,
E01011562 : Leeds 012B,"1,592",806,553,172,47,14,
E01011563 : Leeds 012C,"1,416",712,474,181,41,8,
E01011564 : Leeds 012D,"1,501",850,482,132,26,11,
E01011567 : Leeds 012E,"1,393",727,464,166,30,6,
E01011376 : Leeds 013A,"1,516",760,524,172,44,16,
E01011377 : Leeds 013B,"1,386",630,521,183,40,12,
E01011378 : Leeds 013C,"1,394",584,503,212,73,22,
E01011382 : Leeds 013D,"1,456",691,524,188,45,8,
