2021 super output area - lower layer,Total: All usual residents,,Very good health,,Good health,,Fair health,,Bad health,,Very bad health,
,number,%,number,%,number,%,number,%,number,%,number,%
E01011698 : Leeds 001A,"1,462",100,721,49.3,509,34.8,175,12,42,2.9,15,1
E01011699 : Leeds 001B,"1,289",100,616,47.8,481,37.3,159,12.3,28,2.2,5,0.4
E01011701 : Leeds 001C,"1,367",100,737,53.9,444,32.5,135,9.9,37,2.7,14,1
E01011702 : Leeds 001D,"1,649",100,"1,042",63.2,440,26.7,138,8.4,23,1.4,6,0.4
E01011703 : Leeds 001E,"1,223",100,578,47.3,461,37.7,143,11.7,33,2.7,8,0.7
E01011697 : Leeds 002A,"2,284",100,"1,003",43.9,789,34.5,346,15.1,101,4.4,45,2
E01011700 : Leeds 002B,"1,479",100,681,46,506,34.2,233,15.8,45,3,14,0.9
E01011704 : Leeds 002C,"2,230",100,949,42.6,762,34.2,337,15.1,129,5.8,53,2.4
E01011705 : Leeds 002D,"1,370",100,605,44.2,467,34.1,200,14.6,77,5.6,21,1.5
E01011581 : Leeds 003A,"1,660",100,812,48.9,573,34.5,214,12.9,47,2.8,14,0.8
E01011582 : Leeds 003B,"1,613",100,658,40.8,558,34.6,274,17,101,6.3,22,1.4
E01011583 : Leeds 003C,"1,573",100,777,49.4,564,35.9,181,11.5,38,2.4,13,0.8
E01011584 : Leeds 003D,"1,682",100,886,52.7,544,32.3,178,10.6,58,3.4,16,1
E01011569 : Leeds 004A,"1,730",100,818,47.3,602,34.8,233,13.5,53,3.1,24,1.4
E01011571 : Leeds 004B,"1,609",100,773,48,564,35.1,211,13.1,42,2.6,19,1.2
E01011572 : Leeds 004C,"1,777",100,903,50.8,614,34.6,193,10.9,53,3,14,0.8
E01011573 : Leeds 004D,"1,311",100,619,47.2,484,36.9,166,12.7,35,2.7,7,0.5
E01011574 : Leeds 004E,"1,401",100,570,40.7,469,33.5,224,16,95,6.8,43,3.1
E01011707 : Leeds 005A,"1,295",100,599,46.3,456,35.2,182,14.1,44,3.4,14,1.1
E01011709 : Leeds 005B,"2,046",100,"1,205",58.9,574,28.1,192,9.4,53,2.6,22,1.1
E01011710 : Leeds 005C,"1,414",100,797,56.4,431,30.5,140,9.9,35,2.5,11,0.8
E01011711 : Leeds 005D,"1,418",100,754,53.2,440,31,153,10.8,58,4.1,13,0.9
E01011712 : Leeds 005E,"1,448",100,770,53.2,488,33.7,151,10.4,29,2,10,0.7
E01011561 : Leeds 006A,"1,184",100,671,56.7,373,31.5,112,9.5,19,1.6,9,0.8
E01011696 : Leeds 006B,"1,548",100,857,55.4,474,30.6,171,11,36,2.3,10,0.6
E01011706 : Leeds 006C,"1,532",100,878,57.3,483,31.5,128,8.4,33,2.2,10,0.7
E01011708 : Leeds 006D,"1,470",100,799,54.4,484,32.9,148,10.1,29,2,10,0.7
E01011713 : Leeds 006E,"1,785",100,"1,043",58.4,549,30.8,156,8.7,28,1.6,9,0.5
E01011570 : Leeds 007A,"2,302",100,"1,280",55.6,722,31.4,221,9.6,68,3,11,0.5
E01011576 : Leeds 007C,"1,465",100,872,59.5,430,29.4,118,8.1,34,2.3,11,0.8
E01032503 : Leeds 007E,"1,448",100,881,60.8,396,27.3,130,9,31,2.1,10,0.7
E01032504 : Leeds 007F,"1,782",100,973,54.6,575,32.3,178,10,50,2.8,6,0.3
E01011266 : Leeds 008A,"2,612",100,"1,560",59.7,819,31.4,183,7,43,1.6,7,0.3
E01011270 : Leeds 008B,"1,719",100,986,57.4,530,30.8,155,9,37,2.2,11,0.6
E01011279 : Leeds 008C,"1,317",100,662,50.3,429,32.6,174,13.2,44,3.3,8,0.6
E01011280 : Leeds 008D,"2,074",100,"1,131",54.5,673,32.4,213,10.3,47,2.3,10,0.5
E01011265 : Leeds 009A,"1,956",100,"1,011",51.7,618,31.6,232,11.9,70,3.6,25,1.3
E01011267 : Leeds 009B,"1,699",100,802,47.2,558,32.8,217,12.8,90,5.3,32,1.9
E01011271 : Leeds 009C,"2,172",100,"1,196",55.1,727,33.5,209,9.6,33,1.5,7,0.3
E01011272 : Leeds 009D,"1,454",100,770,53,488,33.6,153,10.5,35,2.4,8,0.6
E01011268 : Leeds 010A,"1,393",100,564,40.5,506,36.3,220,15.8,77,5.5,26,1.9
E01011273 : Leeds 010B,"1,483",100,734,49.5,496,33.4,195,13.1,46,3.1,12,0.8
E01011274 : Leeds 010C,"1,360",100,536,39.4,490,36,224,16.5,91,6.7,19,1.4
E01011275 : Leeds 010D,"1,411",100,623,44.2,518,36.7,198,14,53,3.8,19,1.3
E01011264 : Leeds 011A,"1,285",100,525,40.9,470,36.6,213,16.6,60,4.7,17,1.3
E01011269 : Leeds 011B,"1,568",100,656,41.8,566,36.1,237,15.1,81,5.2,28,1.8
E01011276 : Leeds 011C,"1,735",100,855,49.3,627,36.1,199,11.5,48,2.8,6,0.3
E01011578 : Leeds 011D,"1,273",100,599,47.1,415,32.6,198,15.6,48,3.8,13,1
E01011554 : Leeds 012A,"1,445",100,812,56.2,426,29.5,160,11.1,30,2.1,17,1.2
E01011562 : Leeds 012B,"1,567",100,799,51,501,32,205,13.1,49,3.1,13,0.8
E01011563 : Leeds 012C,"1,393",100,742,53.3,460,33,149,10.7,29,2.1,13,0.9
E01011564 : Leeds 012D,"1,557",100,880,56.5,489,31.4,147,9.4,30,1.9,11,0.7
E01011567 : Leeds 012E,"1,472",100,776,52.7,511,34.7,147,10,31,2.1,7,0.5
E01011376 : Leeds 013A,"1,662",100,873,52.5,570,34.3,183,11,26,1.6,10,0.6
E01011377 : Leeds 013B,"1,389",100,673,48.5,464,33.4,199,14.3,40,2.9,13,0.9
E01011378 : Leeds 013C,"1,418",100,557,39.3,498,35.1,225,15.9,112,7.9,26,1.8
E01011382 : Leeds 013D,"1,609",100,816,50.7,579,36,169,10.5,37,2.3,8,0.5
E01011277 : Leeds 014A,"1,605",100,928,57.8,497,31,130,8.1,38,2.4,12,0.7
E01011278 : Leeds 014B,"1,622",100,865,53.3,560,34.5,155,9.6,38,2.3,4,0.2
E01011579 : Leeds 014C,"1,338",100,703,52.5,444,33.2,155,11.6,26,1.9,10,0.7
